word,lemma,pos,frequency
hello,hello,INTJ,2361
room,room,NOUN,2354
by,by,ADP,2350
mouth,mouth,NOUN,2350
gotta,go,AUX,2332
fell,fall,VERB,2325
hand,hand,NOUN,2322
many,many,ADJ,2317
door,door,NOUN,2313
new,new,ADJ,2311
bad,bad,ADJ,2301
hear,hear,VERB,2286
their,they,PRON,2279
write,write,VERB,2278
draw,draw,VERB,2278
funny,funny,ADJ,2222
picture,picture,NOUN,2222
green,green,ADJ,2204
into,into,ADP,2197
pretty,pretty,ADV,2196
hurt,hurt,VERB,2188
train,train,NOUN,2175
top,top,NOUN,2164
cup,cup,NOUN,2158
fall,fall,VERB,2147
fish,fish,NOUN,2137
day,day,NOUN,2136
push,push,VERB,2133
saw,see,VERB,2128
cookie,cookie,NOUN,2127
called,call,VERB,2120
horse,horse,NOUN,2098
call,call,VERB,2091
still,still,ADV,2089
kitty,kitty,NOUN,2081
thought,think,VERB,2077
like,like,INTJ,2065
eyes,eye,NOUN,2064
coffee,coffee,NOUN,2060
drink,drink,VERB,2048
home,home,NOUN,2039
money,money,NOUN,2032
which,which,DET,2031
story,story,NOUN,2029
throw,throw,VERB,2025
wow,wow,INTJ,2014
done,do,VERB,2010
go,go,NOUN,2001
minute,minute,NOUN,1993
hot,hot,ADJ,1976
anything,anything,PRON,1975
off,off,ADV,1973
yellow,yellow,ADJ,1970
food,food,NOUN,1965
keep,keep,VERB,1961
real,real,ADJ,1956
sarah,Sarah,PROPN,1950
part,part,NOUN,1949
ya,ya,PRON,1949
gonna,gonna,ADV,1943
stay,stay,VERB,1943
wants,want,VERB,1939
-,-,PUNCT,1939
stuff,stuff,NOUN,1935
_of,_of,ADP,1931
adam,Adam,PROPN,1917
together,together,ADV,1915
fix,fix,VERB,1906
nose,nose,NOUN,1902
mm,mm,INTJ,1896
piece,piece,NOUN,1893
like,like,SCONJ,1878
guy,guy,NOUN,1874
might,might,AUX,1869
mm,mm,PROPN,1868
better,good,ADJ,1859
tape,tape,NOUN,1849
making,make,VERB,1846
bit,bit,NOUN,1835
pick,pick,VERB,1831
marky,Marky,PROPN,1830
night,night,NOUN,1823
birthday,birthday,NOUN,1817
only,only,ADV,1807
bear,bear,NOUN,1793
comes,come,VERB,1787
playing,play,VERB,1781
duck,duck,NOUN,1780
last,last,ADJ,1740
buy,buy,VERB,1731
apple,apple,NOUN,1730
old,old,ADJ,1717
shall,shall,AUX,1711
animals,animal,NOUN,1694
hard,hard,ADJ,1690
outside,outside,ADV,1682
home,home,ADV,1677
bunny,bunny,NOUN,1675
doggie,doggie,NOUN,1675
ones,one,NOUN,1674
does,do,VERB,1674
open,open,ADJ,1665
floor,floor,NOUN,1661
leave,leave,VERB,1652
coming,come,VERB,1636
getting,get,VERB,1634
somebody,somebody,PRON,1626
am,be,AUX,1621
zzz,zzz,NOUN,1605
under,under,ADP,1602
pretty,pretty,ADJ,1600
long,long,ADJ,1599
yet,yet,ADV,1598
move,move,VERB,1588
yours,yours,PRON,1582
chi,Chi,PROPN,1577
cut,cut,VERB,1571
bottle,bottle,NOUN,1570
tea,tea,NOUN,1569
side,side,NOUN,1568
airplane,airplane,NOUN,1566
uhuh,uhuh,INTJ,1565
stop,stop,VERB,1562
better,well,ADV,1558
lady,lady,NOUN,1547
cow,cow,NOUN,1545
got,get,AUX,1540
eating,eat,VERB,1532
toy,toy,NOUN,1529
store,store,NOUN,1528
bag,bag,NOUN,1528
same,same,ADJ,1528
stand,stand,VERB,1519
pull,pull,VERB,1515
hm,hm,INTJ,1512
gonna,gonna,AUX,1509
guess,guess,VERB,1504
shoes,shoe,NOUN,1488
hafta,hafta,PART,1488
work,work,VERB,1487
guys,guy,NOUN,1479
fit,fit,VERB,1471
bus,bus,NOUN,1471
even,even,ADV,1463
tree,tree,NOUN,1455
through,through,ADP,1450
next,next,ADJ,1446
different,different,ADJ,1444
nomi,Nomi,PROPN,1441
orange,orange,ADJ,1440
nope,nope,INTJ,1436
hands,hand,NOUN,1433
six,six,NUM,1432
bird,bird,NOUN,1431
fire,fire,NOUN,1412
abe,Abe,PROPN,1405
build,build,VERB,1398
looking,look,VERB,1397
never,never,ADV,1397
broken,break,VERB,1393
mother,mother,NOUN,1376
game,game,NOUN,1374
happy,happy,ADJ,1371
back,back,NOUN,1366
feet,foot,NOUN,1366
cold,cold,ADJ,1363
everything,everything,PRON,1361
goin,go,VERB,1355
face,face,NOUN,1353
sleep,sleep,VERB,1352
hit,hit,VERB,1347
much,much,ADJ,1344
uhoh,uhoh,INTJ,1340
been,be,AUX,1339
found,find,VERB,1339
already,already,ADV,1337
careful,careful,ADJ,1331
ask,ask,VERB,1330
boat,boat,NOUN,1325
blocks,block,NOUN,1318
wan,want,VERB,1314
nothing,nothing,PRON,1311
is,be,VERB,1306
white,white,ADJ,1301
close,close,VERB,1300
light,light,NOUN,1296
almost,almost,ADV,1295
love,love,VERB,1282
dinosaur,dinosaur,NOUN,1277
silly,silly,ADJ,1272
get,get,AUX,1272
touch,touch,VERB,1269
though,though,ADV,1268
monkey,monkey,NOUN,1265
ride,ride,VERB,1263
wanna,wanna,VERB,1259
ever,ever,ADV,1256
whoa,whoa,INTJ,1251
cake,cake,NOUN,1245
took,take,VERB,1245
morning,morning,NOUN,1243
wear,wear,VERB,1239
elephant,elephant,NOUN,1235
place,place,NOUN,1233
whole,whole,ADJ,1233
black,black,ADJ,1230
thank,thank,VERB,1228
cars,car,NOUN,1213
daddy,daddy,PROPN,1211
lunch,lunch,NOUN,1205
feel,feel,VERB,1203
spoon,spoon,NOUN,1202
gave,give,VERB,1198
sing,sing,VERB,1198
seven,seven,NUM,1193
cookies,cookie,NOUN,1192
em,they,PRON,1192
finished,finish,VERB,1192
for,for,SCONJ,1182
trying,try,VERB,1180
party,party,NOUN,1178
cream,cream,NOUN,1173
told,tell,VERB,1172
blanket,blanket,NOUN,1170
later,late,ADV,1169
kids,kid,NOUN,1166
hole,hole,NOUN,1161
chicken,chicken,NOUN,1160
break,break,VERB,1160
phone,phone,NOUN,1145
must,must,AUX,1141
makes,make,VERB,1141
great,great,ADJ,1137
wrong,wrong,ADJ,1137
wheel,wheel,NOUN,1135
drive,drive,VERB,1135
catch,catch,VERB,1133
dinner,dinner,NOUN,1132
rabbit,rabbit,NOUN,1129
finger,finger,NOUN,1128
idea,idea,NOUN,1128
noise,noise,NOUN,1126
lot,lot,NOUN,1125
eight,eight,NUM,1124
breakfast,breakfast,NOUN,1120
wanted,want,VERB,1117
turn,turn,NOUN,1113
pencil,pencil,NOUN,1113
eve,Eve,PROPN,1110
puzzle,puzzle,NOUN,1095
after,after,ADP,1094
pretend,pretend,VERB,1093
nina,Nina,PROPN,1085
bigger,big,ADJ,1085
tired,tired,ADJ,1085
talking,talk,VERB,1084
sorry,sorry,ADJ,1082
much,much,ADV,1080
child,child,NOUN,1076
blow,blow,VERB,1074
broke,break,VERB,1070
lion,lion,NOUN,1065
page,page,NOUN,1064
cause,cause,SCONJ,1062
sometimes,sometimes,ADV,1061
chocolate,chocolate,NOUN,1056
hafta,hafta,VERB,1055
than,than,ADP,1054
enough,enough,ADJ,1052
ahead,ahead,ADV,1050
dirty,dirty,ADJ,1050
bet,bet,VERB,1049
putting,put,VERB,1047
mouse,mouse,NOUN,1047
probably,probably,ADV,1042
ten,ten,NUM,1040
teeth,tooth,NOUN,1039
eye,eye,NOUN,1038
egg,egg,NOUN,1037
always,always,ADV,1034
stuck,stuck,ADJ,1033
tail,tail,NOUN,1031
o,of,PROPN,1031
roman,Roman,PROPN,1028
work,work,NOUN,1026
sleep,sleep,NOUN,1010
shirt,shirt,NOUN,1008
one,one,PRON,1007
ya,ya,INTJ,1006
jump,jump,VERB,1002
dolly,dolly,NOUN,999
everybody,everybody,PRON,994
so,so,SCONJ,994
stick,stick,VERB,991
cheese,cheese,NOUN,988
pig,pig,NOUN,984
peter,Peter,PROPN,976
foot,foot,NOUN,975
more,more,ADV,971
wash,wash,VERB,971
shoe,shoe,NOUN,968
are,be,VERB,967
fraser,Fraser,PROPN,965
sugar,sugar,NOUN,964
doll,doll,NOUN,963
sitting,sit,VERB,959
end,end,NOUN,954
happens,happen,VERB,954
ice,ice,NOUN,951
number,number,NOUN,948
yesterday,yesterday,NOUN,946
butter,butter,NOUN,945
walk,walk,VERB,945
wanna,wanna,PART,944
xxx,xxx,PROPN,940
nine,nine,NUM,940
bite,bite,VERB,939
ate,eat,VERB,937
hungry,hungry,ADJ,935
forgot,forget,VERB,931
yourself,yourself,PRON,930
men,man,NOUN,928
paul,Paul,PROPN,927
run,run,VERB,926
means,mean,VERB,925
tomorrow,tomorrow,NOUN,924
eggs,egg,NOUN,923
clothes,clothes,NOUN,922
both,both,DET,916
a_lot_of,a_lot_of,NOUN,912
zoo,zoo,NOUN,907
around,around,ADP,901
friend,friend,NOUN,900
cool,cool,ADJ,900
start,start,VERB,899
christmas,Christmas,PROPN,898
wet,wet,ADJ,898
ca,can,AUX,898
pen,pen,NOUN,896
horsie,horsie,NOUN,892
cry,cry,VERB,885
eh,eh,INTJ,885
ride,ride,NOUN,884
books,book,NOUN,883
gets,get,VERB,878
